13:48:53: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 53] Logger initialized
13:48:58: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] AVERAGE VELOCITY: (1.8181818181818181, 5.454545454545454, 0.18181818181818182)
13:48:59: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] AVERAGE VELOCITY: (3.3333333333333335, 5.0, 0.16666666666666666)
13:48:59: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] AVERAGE VELOCITY: (4.615384615384615, 4.615384615384615, 0.15384615384615385)
13:49:00: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] AVERAGE VELOCITY: (4.285714285714286, 2.857142857142857, 0.14285714285714285)
13:49:00: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] AVERAGE VELOCITY: (4.0, 1.3333333333333333, 0.13333333333333333)
13:49:01: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] AVERAGE VELOCITY: (3.75, 0.0, 0.125)
13:49:01: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] AVERAGE VELOCITY: (2.3529411764705883, 0.0, 0.11764705882352941)
13:49:02: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] AVERAGE VELOCITY: (1.1111111111111112, 0.0, 0.1111111111111111)
13:49:02: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] AVERAGE VELOCITY: (0.0, 0.0, 0.10526315789473684)
13:49:03: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] AVERAGE VELOCITY: (0.0, 1.0, 0.1)
13:49:03: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] AVERAGE VELOCITY: (0.0, 1.9047619047619047, 0.09523809523809523)
13:49:04: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] AVERAGE VELOCITY: (0.0, 2.727272727272727, 0.09090909090909091)
13:49:04: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] AVERAGE VELOCITY: (0.8695652173913043, 2.608695652173913, 0.08695652173913043)
13:49:05: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] AVERAGE VELOCITY: (1.6666666666666667, 2.5, 0.08333333333333333)
13:49:05: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] AVERAGE VELOCITY: (2.4, 2.4, 0.08)
13:49:06: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] AVERAGE VELOCITY: (2.3076923076923075, 1.5384615384615385, 0.07692307692307693)
13:49:06: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] AVERAGE VELOCITY: (2.2222222222222223, 0.7407407407407407, 0.07407407407407407)
13:49:07: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] AVERAGE VELOCITY: (2.142857142857143, 0.0, 0.07142857142857142)
13:49:07: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] AVERAGE VELOCITY: (1.3793103448275863, 0.0, 0.06896551724137931)
13:49:08: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] AVERAGE VELOCITY: (0.6666666666666666, 0.0, 0.06666666666666667)
13:49:08: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] AVERAGE VELOCITY: (0.0, 0.0, 0.06451612903225806)
